GeneName	RMS.FPNormalsStatus	RMS.FNNormalsStatus	EWSNormalsStatus	ASPSNormalsStatus	DSRCTNormalsStatus	HBLNormalsStatus	MLNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	NB.UnknownNormalsStatus	OSNormalsStatus	SSNormalsStatus	TeratomaNormalsStatus	UDSNormalsStatus	YSTNormalsStatus	WTNormalsStatus	CCSKNormalsStatus	RowSum
GRPR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
FIBCD1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SMPDL3B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
FCRLA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TRPM1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
SYT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CTSV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MMP13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
SLC28A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ADAMTS14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LGR5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MDGA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ADAMTS17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC13A5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SLC6A3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTS19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
GPR174	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LPAR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CHRNB3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FREM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ADAMTS12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PANX3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
TMPRSS15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NRG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ARSE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACAN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
CYP3A7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ASGR2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ALPPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
IHH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PLB1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CLDN19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
SLC45A2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
SLC7A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PRTG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
TACR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LRRC8E	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
KCNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ADRA1D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AQPEP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WFIKKN2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
SLC17A8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HTR1D	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
PAPPA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NPBWR1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM132A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
QRFPR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DCC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PDCD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COL25A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADRB3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SIGLEC15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
SERPINA1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
KEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MAGEA1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
PTCHD2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HLA-G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNU1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
TDGF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
TSPAN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIPAL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP51A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM176A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M6PR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFPI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC109B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THSD7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPPL2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRLF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP2B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CX3CL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHTF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBXA2R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST7L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHBDF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIGQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELSR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST3GAL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TENM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IYD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRAF3IP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POMT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYRK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIPR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NISCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HFE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KAL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAUR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QPCTL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYROBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMA3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBTPS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXTL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPRC5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC30A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPEP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPC1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL20RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLT8D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC38A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC11A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARCO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP3A43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSBPL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERP44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLAMF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTN3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNGR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VRK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VEZT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNPLA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF19A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADSS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BEST2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PQLC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTN4R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INPP4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RETSAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USH2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZPBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHKA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPM6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ROS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL9A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KITLG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAMP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRD5A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPTM1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R3F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
