GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	CCSK	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000150637	CD226	18	67498394	67629039	-	3957	-1.36760133531519	1.20327891343445	0.00724941016747747	0.0210792635040259	0.608040528620679	0.235680547131948	-0.379997947875549	0.560649258249386	CD molecules;V-set domain containing	CD226 molecule	NM_006566	Y	Y	Y	N	N	N	N	0.0997052182306221	0.0981134102722188	0.256067785944203	0.704785215959264	1.09332695688448
ENSG00000153283	CD96	3	111011566	111384597	+	5762	-1.67243672858518	1.88607182635236	0.0147453554595076	0.0396295638995334	0.687447193538443	0.215274368906484	-0.473560292003651	0.627352470403467	CD molecules;Immunoglobulin like domain containing;Ig-like cell adhesion molecule family	CD96 molecule	NM_001318889	Y	Y	Y	N	N	N	N	0.0408920249763191	0.135034243845115	0.0841363652870164	1.19832290289891	3.69161854353509
ENSG00000163599	CTLA4	2	204732509	204738683	+	2120	-1.71635453589809	-1.11200166844605	0.0375791500656103	0.0905140191587516	0.198209885771769	0.0589336961162732	-0.178268382038589	0.18048382527016	CD molecules;V-set domain containing	cytotoxic T-lymphocyte associated protein 4	NM_005214	Y	Y	Y	N	N	N	N	0.114103403084876	0.344801472395803	0.0561807290472683	0.052951117338574	1.51541798310221
ENSG00000163600	ICOS	2	204801471	204826300	+	2645	-1.27875517347293	-0.667010794146663	0.167264094821492	0.328542103823344	0.224498511055774	0.0916948559265596	-0.165621360599205	0.207596227675692	CD molecules	inducible T cell costimulator	NM_012092	Y	Y	Y	N	N	N	N	0.00961460479694552	0.0964007935600208	0.0367804235239143	0.144784227644113	2.65062082225628
ENSG00000168961	LGALS9	17	25956824	25976586	+	5714	-0.466511912196249	2.92726736869547	0.239796363129858	0.444176770536087	1.36485427166613	0.988263443238857	-0.250242358318293	1.31692452986629	Galectins	galectin 9	NM_009587	Y	N	Y	N	N	N	N	0.645957871801458	1.9766600501662	0.883398135839439	0.999828343679046	10.124769289155
ENSG00000181847	TIGIT	3	113995760	114029135	+	6091	-2.12119495664333	0.483972101737833	0.00184446175434963	0.00617399864514115	0.239835805631939	0.0546608328438193	-0.233369954879274	0.216268081822542	V-set domain containing	T cell immunoreceptor with Ig and ITIM domains	NM_173799	Y	Y	Y	N	N	N	N	0.0319647872679482	0.0942935868465475	0.064717369449444	0.330558342369229	0.816825555384848
ENSG00000182578	CSF1R	5	149432854	149492935	-	5151	-0.495273901553246	4.27421573764525	0.158667564893154	0.314065923076331	3.88442179390428	2.75603485012305	-0.37897734052963	3.74080891015031	Receptor tyrosine kinases;CD molecules;Immunoglobulin like domain containing	colony stimulating factor 1 receptor	NM_005211	Y	Y	Y	N	N	N	N	3.43856806323672	3.27793243354642	0.547459535823937	1.40848429212912	7.83877122874748
ENSG00000186265	BTLA	3	112182815	112218408	-	3697	-2.85952831772845	0.0106906133456945	0.000557094440518219	0.00210892745747795	0.280142705588398	0.0376717974916927	-0.302954435925239	0.249282771830636	CD molecules;Immunoglobulin like domain containing	B and T lymphocyte associated	NM_181780	Y	Y	Y	N	N	N	N	0.0245710667845534	0.0312786213045269	0.0281317570108209	0.146441933113824	0.351331958774961
ENSG00000188389	PDCD1	2	242792033	242801060	-	2114	-2.21491360659414	-0.997529206462341	0.0020703947190045	0.00684302251547813	0.221511533327866	0.0461556940667779	-0.223569908800777	0.199193517421909	CD molecules;V-set domain containing	programmed cell death 1	NM_005018	Y	Y	Y	N	N	N	N	0.0290019684028936	0.387448975434956	0.194413770547394	0.104321444702998	1.7257198378985
ENSG00000197646	PDCD1LG2	9	5510545	5571282	+	2418	-0.863736908023744	1.00630143494364	0.0259757392901938	0.065344139075007	0.846781675198243	0.465040961894413	-0.334072320019181	0.798196493505028	CD molecules;Endogenous ligands;Immunoglobulin like domain containing	programmed cell death 1 ligand 2	NM_025239	Y	Y	Y	N	N	N	N	0.0909488823994994	1.01939104916138	0.534878985840227	0.968938029260125	3.68919586258129
ENSG00000243646	IL10RB	21	34638663	34669539	+	2545	0.605153294157944	3.63838852727084	0.00896595631776349	0.0254936671787215	4.55739269949435	6.93796986916944	0.514361897798148	4.86037524836209	CD molecules;Interleukin receptors	interleukin 10 receptor subunit beta	NM_000628	Y	Y	Y	N	N	N	N	2.16676130361955	4.8247775044701	7.28950149203939	16.6215482194832	18.5099101535225
ENSG00000243772	KIR2DL3	19	55249980	55295776	+	2484	-3.2309452324467	-2.50159140774723	0.0278145156163458	0.0694031397400884	0.045074906097308	0.00302787980644616	-0.0592446445210826	0.0397234663875619	CD molecules;Killer cell immunoglobulin like receptors	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	NM_015868	Y	Y	Y	N	N	N	N	0	0.00631886628508446	0	0.0873838400868247	0.224502155429396
